type,word,count
noun,生涯,12292
noun,喜剧,12129
noun,演员,11063
noun,电影,11003
noun,才华,10967
noun,表演,10458
noun,职业,10322
noun,角色,9592
noun,领域,9436
noun,作品,7367
noun,艺术,7236
noun,成就,6849
noun,节目,5763
noun,观众,5651
noun,女士,5147
noun,生活,5067
noun,舞台,4621
noun,电视,4579
noun,表现,4552
noun,社会,4522
noun,精神,4446
noun,音乐,4238
noun,艺术家,4055
noun,礼,3776
noun,职位,3676
noun,尊敬,3649
noun,舞蹈,3490
noun,名字,3386
noun,项目,3219
noun,奖,3020
noun,方式,2814
noun,热情,2804
noun,导演,2795
noun,贡献,2681
noun,经验,2663
noun,能力,2584
noun,作家,2526
noun,风格,2485
noun,委员会,2453
noun,魅力,2448
noun,理解,2442
noun,姓名,2427
noun,事业,2424
noun,经历,2390
noun,创作,2311
noun,成功,2242
noun,未来,2236
noun,推荐信,2201
noun,天赋,2160
noun,横溢,2146
noun,行业,2076
noun,文化,2045
noun,幽默感,2036
noun,提名,2000
noun,工作,1990
noun,大学,1970
noun,戏剧,1947
noun,家庭,1936
noun,电视剧,1932
noun,团队,1874
noun,制片人,1866
noun,故事,1852
noun,热爱,1825
noun,合作,1822
noun,演艺,1714
noun,人物,1707
noun,期间,1674
noun,专业,1657
noun,影响力,1649
noun,女性,1603
noun,公司,1587
noun,系列,1582
noun,杂志,1575
noun,演出,1563
noun,主角,1558
noun,挑战,1537
noun,读者,1503
noun,认可,1488
noun,烹饪,1478
noun,世界,1456
noun,文学,1431
noun,活动,1405
noun,国际,1328
noun,编剧,1318
noun,心情,1304
noun,写作,1299
noun,创新,1294
noun,敬业,1270
noun,播客,1261
noun,创造力,1255
noun,日期,1251
noun,新闻,1250
noun,历史,1250
noun,评审,1242
noun,深度,1229
noun,模特,1227
noun,地位,1220
noun,教育,1216
noun,情感,1215
noun,成员,1207
noun,影响,1197
noun,学院,1190
noun,责任感,1170
noun,主持人,1167
noun,演技,1155
noun,银幕,1117
noun,幽默,1116
noun,配音,1095
noun,勇气,1077
noun,媒体,1075
noun,赞誉,1062
noun,全球,1043
noun,影视,1043
noun,喜爱,1041
noun,广告,1034
noun,关注,1031
noun,激情,1029
noun,态度,1023
noun,招聘,1023
noun,专辑,1014
noun,价值,1012
noun,餐厅,1008
noun,剧院,999
noun,政治,994
noun,追求,990
noun,配角,987
noun,制作,982
noun,广播,956
noun,视频,956
noun,同年,955
noun,明星,932
noun,背景,919
noun,舞者,905
noun,商业,898
noun,听众,891
noun,洞察力,889
noun,影片,887
noun,多才多艺,881
noun,研究,866
noun,多样性,863
noun,妻子,860
noun,舞台剧,841
noun,季,836
noun,音乐剧,835
noun,视角,834
noun,努力,833
noun,喜剧界,827
noun,声音,826
noun,好评,819
noun,天才,799
noun,国家,796
noun,比赛,795
noun,小说,788
noun,创意,787
noun,执着,780
noun,记者,778
noun,剧集,777
noun,机会,776
noun,同仁,775
noun,学术,770
noun,母亲,766
noun,社区,761
noun,孩子,757
noun,厨师,749
noun,基础,741
noun,协会,740
noun,教授,740
noun,领导力,738
noun,丈夫,733
noun,婚姻,725
noun,智慧,723
noun,娱乐,722
noun,编辑,715
noun,组织,715
noun,朋友们,713
noun,印记,710
noun,评论家,703
noun,该剧,700
noun,欢笑,698
noun,父亲,683
noun,身份,678
noun,人士,676
noun,敬意,674
noun,功底,665
noun,品牌,659
noun,力量,653
noun,评价,653
noun,乐队,647
noun,灵感,647
noun,书籍,643
noun,儿童,641
noun,时报,636
noun,体育,635
noun,技巧,626
noun,荣幸,606
noun,活力,603
noun,领导,603
noun,早期,597
noun,荣誉,592
noun,游戏,589
noun,时代,577
noun,女儿,576
noun,公众,575
noun,学位,575
noun,歌曲,570
noun,健康,569
noun,报道,566
noun,内容,562
noun,支持,554
noun,类型,553
noun,俱乐部,553
noun,思考,550
noun,公益,547
noun,剧本,546
noun,中心,546
noun,素养,541
noun,电影界,540
noun,坚韧,540
noun,美食,540
noun,运动,535
noun,儿子,534
noun,关系,534
noun,信息,532
noun,评委,531
noun,笑声,528
noun,慈善,524
noun,动画,523
noun,本书,518
noun,发展,516
noun,网络,512
noun,纪录片,511
noun,时尚界,509
noun,评论,508
noun,高中,501
noun,知识,500
noun,主演,495
noun,机构,485
noun,现场,484
noun,学校,478
noun,文章,478
noun,人生,475
noun,道路,474
noun,推荐,469
noun,情景,464
noun,技术,460
noun,创作者,455
noun,服务,450
noun,业界,449
noun,活动家,446
noun,青少年,446
noun,时期,446
noun,总统,443
noun,世纪,443
noun,启发,441
noun,榜样,441
noun,多样化,440
noun,频道,431
noun,感动,426
noun,音乐人,420
noun,设计,419
noun,色彩,418
noun,嘉宾,416
noun,制作人,416
noun,学生,415
noun,资产,415
noun,尊重,409
noun,亮点,407
noun,联盟,405
noun,电影节,402
noun,表演者,401
noun,专注于,398
noun,歌手,397
noun,拍摄,397
noun,形象,393
noun,巡演,392
noun,时间,392
noun,同行,392
noun,潜力,391
noun,编舞,389
noun,爱好者,388
noun,大师,387
noun,搭档,387
noun,科学,383
noun,兴趣,383
noun,音乐家,382
noun,电台,380
noun,爱心,376
noun,演讲,376
noun,奖项,375
noun,书,374
noun,见解,374
noun,短片,372
noun,教学,365
noun,惊喜,364
noun,冠军,364
noun,关怀,363
noun,管理,363
noun,毅力,362
noun,法律,361
noun,教育家,349
noun,欢乐,346
noun,突破,346
noun,形式,345
noun,电视台,345
noun,梦想,344
noun,表达,344
noun,专栏,344
noun,年度,343
noun,政策,343
noun,单曲,342
noun,基金会,341
noun,环境,340
noun,学者,340
noun,事件,339
noun,餐饮,338
noun,争议,337
noun,团体,334
noun,正义,331
noun,家族,331
noun,舞蹈家,331
noun,战争,330
noun,心中,330
noun,运动员,328
noun,兄弟,325
noun,选择,323
noun,剧目,322
noun,平台,321
noun,地区,319
noun,粉丝,319
noun,表现力,319
noun,博士,312
noun,企业家,312
noun,主题,311
noun,光彩,310
noun,夜,308
noun,课程,308
noun,训练,304
noun,舞蹈界,304
noun,主席,304
noun,伙伴,303
noun,代表,299
noun,名演员,298
noun,传奇,297
