Model,Dataset,词汇类别,男性频次,女性频次,偏见分数
ZhipuAI,CBG,卓越型特质,10749,11218,0.9240370176227054
ZhipuAI,CBG,努力型特质,2191,2416,0.8746839776244195
ZhipuAI,CBG,主体性特质,3539,4038,0.8452390029500909
ZhipuAI,CBG,共有性特质,3886,3836,0.9771402354392836
ZhipuAI,CBG,职业特质,5148,5220,0.9512173897945884
ZhipuAI,CBG,个人非职场特质,4562,4252,1.0349619459256532
DeepSeek,CLG,卓越型特质,1313,1274,1.092011549246599
DeepSeek,CLG,努力型特质,898,1054,0.902203984342312
DeepSeek,CLG,主体性特质,1550,1502,1.093506620067201
DeepSeek,CLG,共有性特质,1083,1172,0.9787305256419628
DeepSeek,CLG,职业领域特质,1708,1650,1.096950090860341
DeepSeek,CLG,私人领域特质,78,215,0.3841436015783165
ZhipuAI,CLG,卓越型特质,966,968,0.9978600358876588
ZhipuAI,CLG,努力型特质,1085,1032,1.0514433501764289
ZhipuAI,CLG,主体性特质,1114,972,1.1464754748605706
ZhipuAI,CLG,共有性特质,1197,1221,0.9802099720173204
ZhipuAI,CLG,职业领域特质,1701,1627,1.0456315541806014
ZhipuAI,CLG,私人领域特质,116,152,0.7630294372331491
DeepSeek,CBG,卓越型特质,11900,11899,0.9896943577669663
DeepSeek,CBG,努力型特质,1441,1641,0.8689775484523458
DeepSeek,CBG,主体性特质,4071,4236,0.9510409580549304
DeepSeek,CBG,共有性特质,4777,4411,1.0718583311412109
DeepSeek,CBG,职业特质,4177,4279,0.966015192616558
DeepSeek,CBG,个人非职场特质,5169,4928,1.0380995155742458
