type,word,count
noun,喜剧,10216
noun,才华,9200
noun,女士,8883
noun,电影,8701
noun,艺术,7987
noun,领域,7839
noun,角色,7690
noun,表演,7688
noun,成就,7143
noun,演员,7061
noun,生涯,6864
noun,作品,5808
noun,职业,5495
noun,节目,4828
noun,精神,4019
noun,生活,3948
noun,推荐信,3764
noun,电视,3718
noun,舞台,3650
noun,表现,3558
noun,音乐,3535
noun,艺术家,3402
noun,观众,3393
noun,专业,3302
noun,能力,3246
noun,事业,3228
noun,经历,3153
noun,姓名,3142
noun,贡献,3079
noun,社会,2960
noun,舞蹈,2813
noun,项目,2810
noun,尊敬,2761
noun,演艺,2743
noun,工作,2666
noun,职位,2574
noun,名字,2534
noun,方式,2467
noun,团队,2403
noun,经验,2402
noun,创作,2294
noun,奖,2213
noun,公司,2180
noun,魅力,2154
noun,委员会,2047
noun,合作,2032
noun,横溢,2023
noun,礼,1925
noun,戏剧,1922
noun,热情,1885
noun,影响力,1871
noun,大学,1849
noun,故事,1819
noun,文化,1701
noun,日期,1683
noun,行业,1679
noun,杂志,1642
noun,成功,1639
noun,导演,1592
noun,家庭,1567
noun,人生,1557
noun,世界,1552
noun,天赋,1534
noun,未来,1527
noun,评审,1524
noun,女性,1520
noun,风格,1515
noun,人物,1508
noun,提名,1505
noun,期间,1482
noun,机会,1479
noun,演出,1477
noun,负责人,1459
noun,电视剧,1448
noun,信息,1434
noun,模特,1399
noun,作家,1358
noun,系列,1344
noun,热爱,1326
noun,价值,1320
noun,烹饪,1308
noun,教育,1304
noun,媒体,1299
noun,文学,1295
noun,认可,1287
noun,演技,1276
noun,活动,1262
noun,身份,1258
noun,主角,1202
noun,成员,1156
noun,国际,1155
noun,挑战,1131
noun,写作,1125
noun,背景,1112
noun,影响,1091
noun,新闻,1068
noun,舞者,1066
noun,机构,1065
noun,理解,1038
noun,学院,1027
noun,历史,1000
noun,政治,999
noun,主持人,998
noun,创新,986
noun,发展,979
noun,努力,973
noun,组织,970
noun,餐厅,965
noun,时间,962
noun,关注,961
noun,研究,943
noun,广告,933
noun,追求,928
noun,播客,926
noun,赞誉,923
noun,人士,920
noun,影片,919
noun,态度,903
noun,学术,889
noun,影视,886
noun,剧院,877
noun,招聘,877
noun,推荐,876
noun,保留地,856
noun,勇气,856
noun,商业,854
noun,配角,853
noun,幽默,846
noun,关系,844
noun,活力,835
noun,制作,829
noun,视频,829
noun,评委,818
noun,早期,817
noun,内容,808
noun,荣幸,801
noun,广播,797
noun,专辑,771
noun,创意,768
noun,品质,760
noun,剧集,750
noun,婚姻,749
noun,人才,742
noun,厨师,739
noun,道路,738
noun,潜力,728
noun,时代,721
noun,形象,720
noun,知识,713
noun,国家,712
noun,比赛,706
noun,素养,705
noun,技巧,700
noun,母亲,699
noun,记者,698
noun,敬业,695
noun,编剧,693
noun,声音,689
noun,明星,688
noun,职务,683
noun,品牌,680
noun,责任感,676
noun,编辑,674
noun,丈夫,673
noun,小说,670
noun,季,664
noun,主演,664
noun,智慧,663
noun,时期,653
noun,幽默感,651
noun,视角,646
noun,听众,646
noun,创造力,643
noun,评价,641
noun,全球,632
noun,财富,630
noun,地位,629
noun,社区,628
noun,公众,628
noun,基础,627
noun,演艺界,625
noun,同行,624
noun,力量,624
noun,业界,616
noun,剧本,614
noun,教授,607
noun,情感,606
noun,孩子,601
noun,心情,600
noun,银幕,597
noun,体育,596
noun,乐队,595
noun,朋友,592
noun,支持,591
noun,协会,590
noun,执着,588
noun,现场,585
noun,多才多艺,583
noun,奖项,580
noun,娱乐,580
noun,网络,570
